family_id	family	party_id	gross_wealth_mean	date_of_first_prior_mean	block_size	numbers_active_medici	numbers_active_oligarch	numbers_active_neutral	pos_x	pos_y	partisanship_color	status_color
0	MEDICI	0	82702	1318	3	7	0	0	-0.0776	0.0391	#387db8	#b6b6b6
1	TORNABUONI	0	42840	1303	7	8	1	1	0.0776	0.1251	#5c82b0	#d4d4d4
2	GUICCIARDINI	0	40617	1289	5	6	0	0	-0.1761	-0.0705	#387db8	#f1f1f1
3	GINORI	0	21167	1344	2	11	0	0	-0.2381	0.1034	#387db8	#818181
4	DIETISALVI	0	13137	1340	2	3	0	0	-0.4	0.1282	#387db8	#898989
5	DALL'ANTELLA	0	18957	1291	2	2	2	0	-0.327	0.2273	#8c4c6b	#ededed
6	ORLANDINI	0	8158	1407	2	2	0	0	-0.0405	0.1715	#387db8	#000000
7	DAVANZATI	0	19887	1320	1	2	0	0	-0.0352	0.3202	#387db8	#b1b1b1
8	COCCO-DONATI	0	12420	1358	3	4	0	0	-0.1493	0.1514	#387db8	#646464
9	VALORI	0	18921	1334	2	2	0	0	-0.2103	0.304	#387db8	#959595
10	ARDINGHELLI	1	48364	1297	2	1	2	0	-0.3648	-0.1236	#ab3b4f	#e0e0e0
11	DA UZZANO	1	48066	1324	2	0	1	1	-0.266	-0.1034	#f28c8c	#a9a9a9
12	GUASCONI	1	85300	1290	4	5	9	0	-0.0852	-0.1171	#a63d54	#efefef
13	RONDINELLI	1	14529	1299	3	0	5	1	0.0179	-0.0306	#e84042	#dcdcdc
14	ALDOBRANDINI	1	5403	1306	2	0	2	0	0.063	-0.4	#e31a1c	#cecece
15	PERUZZI	1	50125	1282	3	0	10	1	0.0216	-0.205	#e62e30	#ffffff
16	CASTELLANI	1	37118	1301	3	0	6	1	0.0869	-0.2025	#e83b3d	#d8d8d8
17	PEPI	1	14367	1360	3	0	2	1	0.2527	-0.242	#ed6669	#606060
18	SCAMBRILLA	1	19640	1382	2	0	2	1	0.1811	-0.3404	#ed6669	#333333
19	BENIZZI	1	13047	1292	2	0	2	1	-0.0727	-0.2918	#ed6669	#ebebeb
20	STROZZI	1	135765	1305	3	1	4	1	-0.1307	-0.2474	#cc525c	#d0d0d0
21	RUCELLAI	1	31297	1308	3	0	2	2	-0.2249	-0.3899	#f28c8c	#cacaca
22	PANCIATICHI	1	64626	1283	3	0	3	0	-0.0034	-0.2863	#e31a1c	#fdfdfd
23	ALBIZZI	1	49988	1314	5	4	12	0	-0.006	-0.1166	#b83342	#bebebe
24	ALTOVITI	1	25874	1321	3	1	5	1	0.1944	-0.1514	#cf4a52	#afafaf
25	DELLA CASA	1	46875	1333	3	1	1	2	0.1161	-0.0902	#c7a6b5	#979797
26	SOLOSMEI	1	5757	1364	1	0	2	0	0.197	0.036	#e31a1c	#585858
27	LAMBERTESCHI	1	32388	1330	2	0	3	0	-0.0988	-0.3667	#e31a1c	#9d9d9d
28	VELLUTI	1	14054	1283	2	1	2	0	-0.1851	-0.2474	#ab3b4f	#fdfdfd
29	BARONCELLI	1	46308	1285	2	0	1	1	-0.2912	-0.1793	#f28c8c	#f9f9f9
30	GUADAGNI	1	25179	1289	1	0	5	0	0.2978	0.3171	#e31a1c	#f1f1f1
31	BISCHERI	1	39365	1341	2	0	1	1	0.4	0.4	#f28c8c	#878787
32	FIORAVANTI	1	19225	1303	3	1	0	2	0.1891	0.2327	#bdd4e8	#d4d4d4
