family_id_from	family_id_to	weight	domain_id
0	1	1	0
0	23	1	0
2	0	1	0
3	4	1	0
5	3	1	0
7	6	1	0
9	8	1	0
11	12	1	0
12	0	1	0
12	11	1	0
12	20	1	0
13	12	1	0
15	12	1	0
15	16	1	0
15	22	1	0
15	25	1	0
16	13	1	0
16	17	1	0
16	18	1	0
19	20	1	0
20	15	1	0
20	21	1	0
20	22	1	0
22	23	1	0
23	12	1	0
23	15	1	0
23	24	1	0
25	23	1	0
30	31	1	0
32	30	1	0
0	3	3	1
0	8	1	1
0	12	2	1
1	26	1	1
2	19	1	1
2	29	1	1
3	0	1	1
10	11	1	1
11	10	1	1
12	0	1	1
12	13	1	1
13	12	1	1
13	16	1	1
13	25	1	1
15	14	1	1
15	16	1	1
15	23	1	1
16	13	1	1
16	15	1	1
16	19	1	1
19	16	1	1
23	28	1	1
25	13	1	1
25	26	1	1
26	1	1	1
26	25	1	1
27	28	1	1
28	23	1	1
28	27	1	1
28	29	1	1
29	2	1	1
29	28	1	1
0	1	1	2
0	2	1	2
0	3	1	2
0	6	1	2
0	8	1	2
0	12	2	2
0	13	1	2
0	23	1	2
1	32	1	2
10	29	1	2
12	23	1	2
15	23	1	2
27	15	1	2
0	2	1	3
0	23	1	3
2	0	1	3
2	20	1	3
12	16	1	3
12	23	1	3
20	2	1	3
20	15	1	3
20	21	1	3
21	20	1	3
23	0	1	3
