author_id	author
0	HANIFAN,_L_J
1	YULE,_G_U
2	KERMACK,_W_O
3	MCKENDRICK,_A_G
4	ECKART,_CARL
5	YOUNG,_GALE
6	COASE,_R_H
7	KENDALL,_M_G
8	JENNINGS,_H_H
9	MORENO,_JOSE
10	WIRTH,_LOUIS
11	GROSS,_NEAL
12	RYAN,_BRYCE_(N/A)
13	HAYEK,_F_A
14	WILCOXON,_F
15	HEIDER,_FRITZ
16	BAVELAS,_ALEX
17	SHANNON,_C_E
18	LUCE,_R_DUNCAN
19	PERRY,_A_D
20	ALCHIAN,_ARMEN
21	FESTINGER,_LEON
22	NASH,_J_F
23	CRONBACH,_LEE
24	LEAVITT,_H_J
25	NASH,_J
26	MONRO,_S
27	ROBBINS,_H
28	KATZ,_LEO_(N/A)
29	METROPOLIS,_N
30	ROSENBLUTH,_A_W
31	ROSENBLUTH,_M_N
32	TELLER,_A_H
33	TELLER,_E
34	BARNES,_J_A
35	COOK,_WALTER
36	MEDLEY,_DONALD
37	FLANAGAN,_J_C
38	SHAW,_MARVIN_E
39	BOTT,_ELIZABETH
40	GUETZKOW,_HAROLD
41	SIMON,_HERBERT
42	HILLERY,_GEORGE
43	CARTWRIGHT,_D
44	HARARY,_F
45	FRENCH,_J_R_P
46	MILLER,_G_A
47	COLEMAN,_J
48	KATZ,_ELIHU
49	MENZEL,_H
50	JAYNES,_E_T
51	MERTON,_R_K
52	HOMANS,_G_C
53	JOURARD,_S_M
54	LASAKOW,_P
55	CAMPBELL,_D_T
56	FISKE,_D_W
57	GILBERT,_E_N
58	PROCTOR,_C_H
59	COHEN,_J
60	CROWNE,_D_P
61	MARLOWE,_D
62	ERDOS,_P
63	RENYI,_A
64	GOULDNER,_A_W
65	HAMILTON,_M_(N/A)_(SPE)
66	LITWAK,_E
67	BECK,_A_T
68	ERBAUGH,_J
69	MENDELSOHN,_M
70	MOCK,_J
71	WARD,_C_H
72	GOODMAN,_LISA
73	LEVINE,_S
74	WHITE,_P_E
75	HAVIGHURST,_R_J
76	NEUGARTEN,_B_L
77	TOBIN,_S_S
78	HORVATH,_W_J
79	RAPOPORT,_AMNON
80	SCHULTZ,_T_W
81	WALTERS,_A_A
82	WRONG,_D_H
83	ARROW,_K_J
84	BECKER,_G_S
85	EMERSON,_R_M
86	FLOYD,_R_W
87	GALE,_DOUGLAS
88	SHAPLEY,_L_S
89	GORHAM,_D_R
90	OVERALL,_J_E
91	SJAASTAD,_L_A
92	ALEXANDER,_C_N
93	DUNPHY,_D_C
94	HAMMER,_M
95	FORD,_A_B
96	JACKSON,_B_A
97	JAFFE,_M_W
98	KATZ,_S
99	MOSKOWITZ,_R_W
100	KESSLER,_M_M
101	MACAULAY,_S
102	SLATER,_P_E
103	WARD,_J_H
104	BRETON,_R
105	DALEY,_D_J
106	KENDALL,_D_G
107	HAMILTON,_W_D
108	KRUSKAL,_J_B
109	MACDONALD,_J_S
110	MACDONALD,_L_D
111	BEAUCHAMP,_M_A
112	BUCHANAN,_J_M
113	GUTKIND,_P_C_W
114	HUBBELL,_C_H
115	PITTS,_F_R
116	PRICE,_D_J_D
117	ZADEH,_L_A
118	ALDOUS,_J
119	STRAUS,_M_A
120	KADUSHIN,_CHARLES
121	LEE,_E_S_(PENN_UNIV)_(ES)
122	BEAVER,_DONALD
123	REES,_A
124	BRESLAU,_N
125	ROSOW,_I
126	ROTTER,_J_B
127	SABIDUSSI,_G
128	ASH,_R
129	ZALD,_M_N
130	ADAMS,_B_N
131	BESHERS,_J_M
132	LAUMANN,_EDWARD
133	DAVIS,_J_A
134	HOLMES,_T_H
135	RAHE,_R_H
136	JOHNSON,_S_C
137	LAWRENCE,_P_R
138	LORSCH,_J_W
139	MANTEL,_N
140	MILGRAM,_S
141	BROWN,_C_HENDRICKS
142	TILLY,_C_(TORONTO_UNIV)_(ES)
143	TURNER,_C
144	CONWAY,_M_E
145	GARBETT,_G_K
146	HARDIN,_G
147	KAIN,_J_F
148	HAVEN,_C
149	LOWENTHAL,_M_F
150	MULLINS,_N_C
151	ALLEN,_T_J
152	COHEN,_S_I
153	ARNSTEIN,_S_R
154	BASS,_F_M
155	BLOOD,_R_O
156	CRANE,_D
157	DAFERMOS,_S_C
158	SPARROW,_F_T
159	KAUFFMAN,_S_A
160	BRODY,_E_M
161	LAWTON,_M_P
162	SZELENYI,_I
163	SCHELLING,_T_C
164	RUEVENI,_U
165	SPECK,_R_V
166	STEBBINS,_R_A
167	TODARO,_M_P
168	TRAVERS,_J
169	WEISS,_R_S
170	SHEAFOR,_B
171	WOOD,_V
172	WYLIE,_M_L
173	AKERLOF,_G_A
174	ARONSON,_D_R
175	BLOOM,_B_H
176	CARROLL,_J_D
177	CHANG,_J_J
178	CHRISMAN,_N_J
179	HOLLAND,_P_W
180	LEINHARDT,_S
181	JACOBSON,_D
182	CASH,_H_R
183	DOWNS,_T_D
184	GROTZ,_R_C
185	KORTE,_C
186	TOOMEY,_D_M
187	HICKSON,_D_J
188	HININGS,_C_R
189	LEE,_C_A
190	PENNINGS,_J_M
191	SCHNECK,_R_E
192	RAND,_W_M
