publication_id	publication	time	time_slice_id	type	subfield_id	subdomain_id
0	HANIFAN_1916_A_130	1916	0	ARTICLE	0	-1
1	YULE_1925_P_21	1925	0	ARTICLE	1	-1
2	KERMACK_1927_P_700	1927	0	ARTICLE	1	-1
3	ECKART_1936_P_211	1936	0	ARTICLE	2	-1
4	COASE_1937_E_386	1937	0	ARTICLE	1	-1
5	KENDALL_1938_B_81	1938	0	ARTICLE	4	-1
6	MORENO_1938_S_342	1938	0	ARTICLE	2	0
7	WIRTH_1938_A_1	1938	0	ARTICLE	1	3
8	RYAN_1943_R_15	1943	0	ARTICLE	0	-1
9	HAYEK_1945_A_519	1945	0	ARTICLE	1	-1
10	WILCOXON_1945_B_80	1945	0	ARTICLE	4	-1
11	HEIDER_1946_J_107	1946	0	ARTICLE	1	2
12	BAVELAS_1948_APPL	1948	0	BOOK	2	2
13	SHANNON_1948_A_379	1948	0	ARTICLE	2	-1
14	SHANNON_1948_A_623	1948	0	ARTICLE	2	-1
15	LUCE_1949_P_95	1949	0	ARTICLE	3	-1
16	ALCHIAN_1950_J_211	1950	0	ARTICLE	2	-1
17	BAVELAS_1950_J_723	1950	0	ARTICLE	4	-1
18	FESTINGE_1950_P_271	1950	0	ARTICLE	1	3
19	LUCE_1950_P_169	1950	0	ARTICLE	2	2
20	NASH_1950_P_48	1950	0	ARTICLE	2	-1
21	CRONBACH_1951_P_297	1951	0	ARTICLE	2	0
22	LEAVITT_1951_J_38	1951	0	ARTICLE	3	2
23	NASH_1951_A_286	1951	0	ARTICLE	2	2
24	ROBBINS_1951_A_400	1951	0	ARTICLE	3	-1
25	KATZ_1953_P_39	1953	0	ARTICLE	3	2
26	METROPOL_1953_J_1087	1953	0	ARTICLE	2	-1
27	BARNES_1954_H_39	1954	0	ARTICLE	2	2
28	COOK_1954_J_414	1954	0	ARTICLE	4	-1
29	FESTINGE_1954_H_117	1954	0	ARTICLE	1	3
30	FLANAGAN_1954_P_327	1954	0	ARTICLE	3	-1
31	SHAW_1954_J_139	1954	0	ARTICLE	4	2
32	BOTT_1955_H_345	1955	0	ARTICLE	4	4
33	GUETZKOW_1955_M_233	1955	0	ARTICLE	1	2
34	HILLERY_1955_R_111	1955	0	ARTICLE	0	2
35	SIMON_1955_B_425	1955	0	ARTICLE	2	1
36	SIMON_1955_Q_99	1955	0	ARTICLE	2	0
37	CARTWRIG_1956_P_277	1956	0	ARTICLE	1	2
38	FRENCH_1956_P_181	1956	0	ARTICLE	1	2
39	MILLER_1956_P_81	1956	0	ARTICLE	0	-1
40	COLEMAN_1957_S_253	1957	0	ARTICLE	1	3
41	JAYNES_1957_P_620	1957	0	ARTICLE	2	1
