publication_id	word_id
0	0
0	1
7	2
8	0
12	3
13	4
14	4
15	3
17	5
18	6
18	7
19	3
19	8
19	9
19	10
22	5
22	11
23	12
24	13
25	10
29	14
30	15
31	3
31	16
32	17
34	0
36	18
37	19
38	20
40	21
43	22
44	23
45	24
46	25
47	26
49	27
52	26
53	28
55	29
55	30
55	31
57	32
58	33
59	34
60	35
61	36
62	27
63	37
65	36
67	38
69	39
70	40
71	41
72	42
72	43
72	44
75	45
79	46
79	47
80	48
81	49
82	50
83	51
83	52
84	53
85	54
88	8
92	17
93	55
93	56
94	57
95	58
95	59
96	60
99	54
100	61
102	62
102	63
103	19
106	64
108	65
109	66
110	17
112	67
113	68
115	69
116	70
117	71
118	72
118	73
119	74
120	9
120	75
120	76
122	66
122	77
123	43
123	59
126	78
126	79
128	3
128	55
130	80
132	81
133	65
134	82
135	34
136	83
140	50
143	41
144	84
144	85
144	86
146	65
146	87
148	88
149	16
149	89
150	90
152	17
152	91
153	92
155	93
156	8
157	94
159	95
159	96
160	97
160	98
162	99
162	100
164	101
164	102
166	103
167	34
167	104
167	105
169	106
171	107
172	108
174	8
174	10
174	109
174	110
176	8
176	10
177	111
178	10
180	112
181	8
181	113
184	114
184	115
186	116
186	117
187	118
188	9
189	106
190	6
190	119
190	120
191	121
192	0
193	122
193	123
193	124
194	125
196	126
197	127
198	128
199	129
200	130
201	131
203	132
214	9
215	133
216	134
217	135
219	54
220	54
222	136
222	137
224	43
228	138
231	139
233	140
233	141
234	50
234	142
235	143
236	144
238	145
238	146
241	52
241	147
243	148
244	149
247	66
249	150
252	56
252	151
253	55
254	43
254	152
254	153
257	154
258	155
261	156
262	157
263	158
264	66
264	159
265	43
266	160
267	161
267	162
269	163
269	164
270	165
271	55
271	166
273	9
274	167
275	168
275	169
276	170
277	133
278	171
278	172
281	85
282	122
282	173
284	174
286	175
286	176
287	177
288	43
288	152
288	178
289	179
289	180
290	181
291	43
293	152
293	182
293	183
294	42
295	184
296	155
298	185
298	186
298	187
300	188
301	54
301	189
302	190
304	191
305	43
307	192
308	149
308	193
310	194
311	195
311	196
312	197
313	3
314	21
315	0
315	198
315	199
316	109
317	200
318	201
320	202
322	203
323	204
323	205
325	16
325	72
326	206
327	56
328	155
329	178
331	207
332	29
332	208
334	209
335	210
335	211
336	60
336	212
338	155
339	133
341	43
342	0
342	213
342	214
343	215
344	155
345	216
346	217
347	218
347	219
348	220
352	217
352	221
353	135
354	222
354	223
354	224
355	222
356	225
357	226
358	169
358	227
359	228
360	229
363	66
363	155
365	230
366	208
367	231
369	8
372	229
373	232
373	233
374	234
376	66
376	133
377	235
378	236
379	237
380	10
380	238
383	16
383	199
383	239
385	240
387	241
388	242
388	243
389	85
389	244
390	245
392	34
392	246
392	247
394	0
395	54
396	155
399	248
401	249
402	5
403	30
403	250
404	163
404	164
405	251
406	252
406	253
407	155
407	251
408	142
409	8
410	43
410	254
411	98
413	255
414	142
416	256
418	257
419	152
419	258
419	259
419	260
420	261
421	234
422	133
423	86
423	262
423	263
424	264
425	0
425	52
425	264
426	263
426	265
427	266
428	213
429	55
431	8
431	163
431	164
431	267
432	43
434	199
435	183
436	268
437	269
437	270
439	271
440	54
441	52
441	213
441	272
441	273
442	114
442	247
443	274
444	155
445	275
446	98
446	276
447	34
448	277
449	278
450	155
451	154
453	279
457	280
459	196
460	142
461	281
464	282
464	283
464	284
467	47
470	3
470	16
471	285
472	247
473	155
473	286
474	155
475	230
476	32
476	287
477	54
477	98
477	254
479	79
480	288
482	82
482	146
483	155
483	289
485	155
486	290
487	142
487	291
488	43
489	292
490	293
491	234
492	294
492	295
493	155
494	114
495	204
496	296
496	297
497	298
499	299
499	300
500	249
504	301
504	302
504	303
505	301
505	302
506	155
509	304
510	155
511	155
511	199
511	305
512	306
512	307
514	155
519	133
521	308
522	309
524	310
525	155
525	305
526	311
527	203
527	206
528	79
528	312
528	313
531	155
531	314
532	315
533	155
534	234
535	155
536	316
537	114
538	163
538	164
539	133
539	317
540	0
540	155
541	155
542	318
542	319
542	320
543	43
543	321
543	322
543	323
544	324
546	297
547	133
549	155
551	325
552	216
553	98
553	326
553	327
554	328
558	55
560	72
560	98
560	329
561	203
561	330
563	54
567	114
569	331
570	199
571	332
572	5
575	142
575	333
576	106
577	154
577	334
579	335
581	336
583	155
584	53
585	217
586	234
587	155
588	43
